match_id,duration,start_time,radiant_team_id,radiant_name,dire_team_id,dire_name,series_id,series_type,radiant_score,dire_score,radiant_win,radiant,leagueid,name
3352045427,1429,1501693585,15,LGD Gaming,350190,Ascent Esports,153104,1,27,6,True,,5401,The International 2017
3352220260,1653,1501703235,15,LGD Gaming,46,Team Empire,153131,1,23,8,True,,5401,The International 2017
3352323980,3338,1501709928,1883502,Virtus.pro,2581813,Execration.安博电竞,153136,1,28,23,False,,5401,The International 2017
3351961375,2660,1501689968,2640025,iG.Vitality,2163,Team Liquid,153100,1,30,34,False,,5401,The International 2017
3353737069,3432,1501776112,1375614,Newbee,2586976,OG,153215,1,40,22,True,,5401,The International 2017
3354123160,2344,1501795750,3331948,LGD.Forever Young,5,Invictus Gaming,153251,1,41,21,True,,5401,The International 2017
3351993496,3412,1501691170,1838315,Team Secret,46,Team Empire,153107,1,31,23,False,,5401,The International 2017
3278498607,3832,1498621396,4372042,Team Freedom,4251435,w33ha earthspirit,0,0,56,36,True,,5401,The International 2017
3281304392,1200,1498739801,2621843,Team. Spirit,2006913,Vega Squadron,146622,1,19,3,True,,5401,The International 2017
3281023107,2290,1498730687,4593831,Planet Dog,4186376,Team Singularity,146612,1,34,17,True,,5401,The International 2017
3281036396,1655,1498731165,2621843,Team. Spirit,4429098,,146613,1,30,14,True,,5401,The International 2017
3281132641,2679,1498734531,4593831,Planet Dog,4186376,Team Singularity,146612,1,33,21,True,,5401,The International 2017
3280779062,2207,1498721604,2581813,Execration.安博电竞,3659536,Clutch Gamers,146609,1,13,25,False,,5401,The International 2017
3280917061,2932,1498726859,4429098,,2621843,Team. Spirit,146613,1,23,35,False,,5401,The International 2017
3363973439,3694,1502214081,3331948,LGD.Forever Young,2108395,TNC Predator,154089,1,35,21,True,,5401,The International 2017
3280916901,2468,1498726853,4593831,Planet Dog,4186376,Team Singularity,146612,1,33,33,False,,5401,The International 2017
3281467339,2933,1498744321,46,Team Empire,2621843,Team. Spirit,146640,2,27,20,True,,5401,The International 2017
3280678605,1673,1498717378,2581813,Execration.安博电竞,543897,Mineski,146601,1,24,10,True,,5401,The International 2017
3282203829,2477,1498772723,3,compLexity Gaming,2512249,123,146719,1,23,12,True,,5401,The International 2017
3364084016,1987,1502219604,3331948,LGD.Forever Young,2108395,TNC Predator,154089,1,28,15,True,,5401,The International 2017
3280569987,2279,1498712237,4372042,Team Freedom,2512249,123,146596,1,32,14,True,,5401,The International 2017
3280219317,4069,1498689683,4251435,w33ha earthspirit,2512249,123,146568,1,24,35,False,,5401,The International 2017
3280507299,2173,1498708980,543897,Mineski,2581813,Execration.安博电竞,146601,1,23,8,True,,5401,The International 2017
3280349437,2253,1498699685,4251435,w33ha earthspirit,2512249,123,146568,1,11,23,False,,5401,The International 2017
3280290578,2693,1498695353,4251435,w33ha earthspirit,2512249,123,146568,1,28,13,True,,5401,The International 2017
3280581397,2704,1498712812,2581813,Execration.安博电竞,543897,Mineski,146601,1,31,23,True,,5401,The International 2017
3280437500,1681,1498705030,4372042,Team Freedom,2512249,123,146596,1,9,25,False,,5401,The International 2017
3362609879,1994,1502161332,2672298,NoPing Esports,2586976,OG,0,0,15,26,False,,5401,The International 2017
